L1,L2,L3,Label,TitleLv,TitleEn,DescriptionLv,DescriptionEn,TypicalTopics,Notes
4,3,0,DOM_Congruences,Kongruence pēc moduļa,Congruence by Module,"Modulārā aritmētika - saskaitīšana, atņemšana, reizināšana un kāpināšana pēc moduļa. Skaitļa multiplikatīvi inversais pēc dotā moduļa. Pazīstamas teorēmas par kongruencēm - M.Fermā teorēma, Eilera teorēma, Vilsona teorēma. Ķīniešu atlikumu teorēma.","Modular arithmetic - adding, subtracting, multiplication and raising to a power. The multiplicative inverse of a number by some modulo. Famous theorems about congruences - Little Fermat theorem, Euler theorem, Wilson theorem.",IntegerCongruence,"BBK2012, 3. un 4. nodaļa"
4,4,0,DOM_NumeralSystems,Skaitīšanas sistēmas,Numeral Systems,"Veselu skaitļu decimālpieraksts un ciparu manipulācijas tajā; ieskaitot spēles ar skaitļa cipariem. Dalāmības pazīmes. Skaitļa pieraksts binārajā un dažās citās pozicionālajās sistēmās. Neparasti skaitļu kodējumi (ar Fibonači skaitļiem, ar ""negatīviem cipariem"" utt.). Decimāldaļas, periodisku daļskaitļu izteikšana ar bezgalīgas ģeometriskas progresijas summu. Neperiodiskas decimāldaļas un iracionāli skaitļi.","Decimal notation for integers and digit manipulations; games involving digits. Divisibility rules. Writing a number in binary or other positional notations. Unusual number encodings using Fibonacci, ""negative digits"" and like. Decimal fractions, periodic fraction as a sum of an infinite geometric series. Non-periodic decimals and irrational numbers.",NumeralSystems,N/A
4,4,1,DOM_DigitManipulation,Ciparu manipulācijas,Digit Manipulation,"Uzdevumi, kuros izdzēš, iesprauž vai pārvieto vietām ciparus.","Problems where digits are deleted, inserted or swapped.",NotationManipulate,
4,4,2,DOM_Cryptarithm,Skaitliski rēbusi,Cryptarithms,"Izteiksmes, kuros jāatjauno cipari, kas aizstāti ar burtiem vai zvaigznītēm",Problems to restore digits that are masked as letters or asterisks.,IntegerExpressionsAndOperations; CaseAnalysisByDigit,
4,5,0,DOM_NumericConstructions,Konstrukcijas ar veseliem skaitļiem,Constructions with Integers,"Uzdevumi, kuros jāatrod vai jākonstruē skaitļi, kas apmierina noteiktas īpašības",Problems asking to find or construct numbers satisfying given properties.,BuildingExamples; ExamplesInNumberTheory,
4,5,1,DOM_NumberRepresentation,Racionāli un iracionāli skaitļi,Rational and Irrational Numbers,"Uzdevumi, kuros jāatrod skaitlis ar īpašām īpašībām vai skaitlis jāizsaka speciālā formā. Skaitļu racionalitātes vai iracionalitātes pamatošana.",Problems where rationality or irrationality has to be proven. Other problems where numbers should be represented in a special way.,RationalNumbers; IrrationalNumbers,
4,5,2,DOM_SpecialNumbers,Skaitļi ar neparastām īpašībām,Special Numbers,"Skaitļi, kas izteikti neparastā formā vai apmierina noteiktas īpašības; to meklēšana vai apgalvojumi par tiem. (Ja īpašības iekļauj manipulācijas ar cipariem tad tā ir cita apakšnozare: DOM_DigitManipulation.)",Numbers satisfying specific properties; finding them or proving statements about them. (Digit manipulation as a property belongs to a different subdomain - DOM_DigitManipulation.),NumTheoryExamples; BuildingExamples,
4,5,3,DOM_NumericSets,Veselu skaitļu kopas,Integer Sets,Skaitļu kopu vai kopas sadalījuma atrašana atbilstoši dotajām īpašībām,Problems about integer sets or set partitions satisfying certain properties.,IntegerGrouping; BuildingExamples,
4,6,0,DOM_IntegerEquations,Vienādojumi veselos skaitļos,Integer Equations,"Vienādojumi ar vienu vai vairākiem mainīgajiem, kuros jāatrod visi veselie atrisinājumi. Arī uzdevumi, kas izsakāmi kā kongruenču vienādojumi.",Equations with one or more variables. Include problems that can be expressed as congruence equations.,NumTheoryTransformations; NumTheoryInequalityMethod,
4,7,0,DOM_IntegerConditions,Novērtējumi un nosacījumi veseliem skaitļiem,Integer Estimates and Conditions,"Nevienādības veseliem skaitļiem; skaitļa kvalitatīvu īpašību izteikšana ar nevienādībām.  Skaitļa kvalitatīvu īpašību pārtulkošana par algebrisku vienādību vai kongruenci. Spriedumi par īsiem intervāliem un gariem intervāliem novērtējumos. Citu skaitļu kopu atrašana atbilstoši īpašībām, kuras nav vienādojumi.",Solving inequalities. Applying inequalities and estimates in number theory e.g. to reduce the number of cases to analyze. Expressing boolean conditions for a number with inequalities. Finding other sets of integers from conditions that are not equations.,NumTheoryInequalityMethod,"BBK2012, 6.nodaļa. ShortNameLv precizēts (2026): agrāk dublēja DOM_NumericSets nosaukumu."
4,8,0,DOM_IntegerPolynomials,Polinomi ar veseliem koeficientiem,Integer Polynomials,"Uzdevumi par polinomiem, kur koeficienti ir veseli skaitļi (vai arī polinoma vērtības veseliem argumentiem ir veseli skaitļi). Polinomu dalīšana ar atlikumu;",Algebra with polynomials with integer coefficients (or taking integer values for integer arguments). Dividing polynomials with remainder.,IntegerPolynomials,
4,9,0,DOM_NumericGamesAndAlgorithms,Skaitļu spēles un algoritmi,Numeric Games and Algorithms,"Spēles, kurās pozīciju nosaka viens vai vairāki skaitļi; citas algoritmiskas procedūras ar skaitļiem.",Games where a position is defined by one or more numbers; other algorithmic procedures with numbers.,Games; NumericAlgorithms,
4,10,0,DOM_IntegerSequences,Veselu skaitļu virknes,Integer Sequences,"Uzdevumi, kuros definētas veselu skaitļu virknes/funkcijas (kuras nav polinomi) un ir jāpamato to īpašības.",Problems defining integer sequences or integer functions (other than polynomials) and their properties are investigated.,RecurrentSequences; ArithmeticPropertiesOfSeries; FibonacciNumbers,
4,11,0,DOM_IntegerFunctionalEquations,Funkcionālvienādojumi veselos skaitļos,Functional Equations in Integers,"Vienādojumi vai to sistēmas, kas tieši nedefinē veselu skaitļu funkcijas, bet jāatrod tās, kuras šos vienādojumus apmierina.",Equations or systems where the unknowns are integer functions.,FunctionalEquationsInDiscreteSets,
