Problem,Property,Value,Text
LV.AMO.2013.6.5,title,"40.AMO, 6.klases 5.uzdevums",
LV.AMO.2013.6.5,youtube,svul9-D_5i0,
LV.AMO.2013.6.5,topic,combinatorial-game,
LV.AMO.2013.6.5,bookmark,32,"Uzdevuma saprašana: Gājienu izdarīšana ""pēc kārtas""."
LV.AMO.2013.6.5,bookmark,50,Uzdevuma saprašana: Spēles laukums. Rindiņas un kolonnas rūtiņu kvadrātā.
LV.AMO.2013.6.5,bookmark,71,Uzdevuma saprašana: Tukšo rūtiņu aizpildīšana ar 3-rūtiņu virknītēm (UNA un IVO).
LV.AMO.2013.6.5,bookmark,98,"Uzdevuma saprašana: Spēle ir galīga (zaudē, kas nevar izdarīt gājienu jeb uzvar, kas izdara pēdējo gājienu)."
LV.AMO.2013.6.5,bookmark,115,Uzdevuma saprašana: Spēlē viens no spēlētājiem noteikti uzvar; eksistē uzvaroša stratēģija
LV.AMO.2013.6.5,bookmark,150,Risinājums: Kas ir stratēģija un uzvaroša stratēģija. Definīcija: Stratēģija.
LV.AMO.2013.6.5,bookmark,194,"Risinājums: Spēles pozīcijas atgriešana ""līdzsvara stāvoklī""."
LV.AMO.2013.6.5,bookmark,264,Risinājums: Līdzsvars uz 5x5 spēles laukuma mūsu gadījumā var būt centrālā simetrija. Unas stratēģija.
LV.AMO.2013.6.5,bookmark,371,"Risinājums: Pamatojums, ka Una vienmēr varēs izdarīt gājienu."
LV.AMO.2013.6.5,bookmark,473,Risinājums: Pēc katra Unas gājiena brīvo rūtiņu veidotā figūra paliek centrāli simetriska (t.i. Una var turpināt savu stratēģiju)
LV.AMO.2013.6.5,bookmark,554,Atskats: Kopsavilkums - kādēļ Una var uzvarēt.
LV.AMO.2013.6.5,note,"Ko šeit saprotam ar vārdu ""simetrisks""? Uzdevumā ir runa ir par centrālo simetriju jeb pagriešanu par 180 grādiem.",
,,,
LV.AMO.2013.7.1,title,"40.AMO, 7.klases 1.uzdevums",
LV.AMO.2013.7.1,youtube,vxpifqi6pO4,
LV.AMO.2013.7.1,topic,algebraic-inequality,
LV.AMO.2013.7.1,bookmark,17,"Uzdevuma saprašana: Precizējam, par kuriem divciparu skaitļiem ir runa."
LV.AMO.2013.7.1,bookmark,50,"Uzdevuma saprašana: Katram skaitlim dalījums ir ""vismaz 11/9"" (apzīmējam vārdu ""vismaz"" ar nevienādību)."
LV.AMO.2013.7.1,bookmark,63,Risinājums: Ieviešam apzīmējumu skaitlim ar cipariem a un b: ab (ar svītriņu virsū). Pierakstām skaitļa un ciparu reizinājuma dalījumu.
LV.AMO.2013.7.1,bookmark,101,Risinājums: Pierādāmās nevienādības pārveidojumi. Metode: Ekvivalenti algebriski pārveidojumi.
LV.AMO.2013.7.1,bookmark,137,Risinājums: Nevienādības pierādījums. Metode: Nevienādības pamatošana ar galējām vērtībām.
LV.AMO.2013.7.1,bookmark,210,Risinājums: Piemērs ar skaitli 99.
LV.AMO.2013.7.1,note,"Pamatojums tam, ka a/b &gt;= c/d (pozitīviem skaitļiem) ir līdzvērtīgs ad &gt;= bc.",
,,,
LV.AMO.2013.7.2,title,"40.AMO, 7.klases 2.uzdevums",
LV.AMO.2013.7.2,youtube,HXFdhK5xN9M,
LV.AMO.2013.7.2,topic,triangle-inequality,
LV.AMO.2013.7.2,bookmark,25,Uzdevuma saprašana: Izvēlamies 3 nogriežņus no 6 – trijstūri veidojot jāizmanto veseli nogriežņi.
LV.AMO.2013.7.2,bookmark,49,Uzdevuma saprašana: Nogriežņu izvēles secība nav svarīga.
LV.AMO.2013.7.2,bookmark,83,"Risinājums: Trijstūra nevienādība. Robežgadījumi, kad leņķis starp malām a un b ir ļoti plats vai ļoti šaurs. Teorēma: Trijstūra nevienādība."
LV.AMO.2013.7.2,bookmark,221,"Risinājums: Trijstūra nevienādības pielietošana. Mala ar garumu 1 neder. Trijstūri malām ar garumiem 3, 5, 7 u.c."
LV.AMO.2013.7.2,bookmark,315,"Risinājums: Malu ""alfabētiskais sakārtojums"" – kā pasargāties no iespējas kaut ko izlaist vai ieskaitīt divreiz."
LV.AMO.2013.7.2,bookmark,394,Atskats: Cik dažādos veidos no 6 nogriežņiem var izvēlēties 3 – 20 dažādos veidos. No tiem der tikai 7 veidi.
LV.AMO.2013.7.2,note,"Pamatojam, cik dažādos veidos var izvēlēties 3 nogriežņus no 6 nogriežņiem (ja nepastāv ierobežojumi).",
LV.AMO.2013.7.2,note,"Kādēļ esam visus variantus uzskaitījuši? Kādēļ nesākām aplūkot malu trijniekus, kas sākas ar 9cm vai 11cm?",
LV.AMO.2013.7.2,note,"Vai ir atšķirība starp ""cik dažādos veidos var izvēlēties nogriežņus..."" un ""cik dažādus trijstūrus var izveidot?"".",
LV.AMO.2013.7.2,note,"Kā mainās atbilde, ja nogriežņu izvēles secība ir svarīga?",
,,,
LV.AMO.2013.7.3,title,"40.AMO, 7.klases 3.uzdevums",
LV.AMO.2013.7.3,youtube,OcYOH2-crnk,
LV.AMO.2013.7.3,topic,perfect-square,
LV.AMO.2013.7.3,bookmark,28,"Uzdevuma saprašana: Skaitlis, kur pēc kārtas izrakstīti daudzi cipari."
LV.AMO.2013.7.3,bookmark,62,Uzdevuma saprašana: Kuri skaitļi ir un kuri nav pilnie kvadrāti.
LV.AMO.2013.7.3,bookmark,114,Risinājums: Apgalvojums par pilna kvadrāta dalāmību ar 2 un 4.
LV.AMO.2013.7.3,bookmark,172,Risinājums: Apgalvojums par pilna kvadrāta dalāmību ar 3 un 9.
LV.AMO.2013.7.3,bookmark,210,Risinājums: Apgalvojums par pilna kvadrāta dalāmību ar 8 un 16.
LV.AMO.2013.7.3,bookmark,286,Risinājums: Pārbaudām pirmo apgalvojumu (par 2 un 4).
LV.AMO.2013.7.3,bookmark,343,"Risinājums: Pārbaudām trešo apgalvojumu (par 8 un 16). Iegūstam pretrunu no pieņēmuma, ka skaitlis būtu pilns kvadrāts."
LV.AMO.2013.7.3,note,"Vai var izmantot arī dalāmību ar 3 un 9? (Ja ir gadījums, kur dalāmība ar 2,4,8,16 nepalīdz – teiksim, ja izraksta skaitļus līdz ""456"": 123...455456 )",
,,,
LV.AMO.2013.7.4,title,"40.AMO, 7.klases 4.uzdevums",
LV.AMO.2013.7.4,youtube,vNAo5sk7KjA,
LV.AMO.2013.7.4,topic,trial-and-error,
LV.AMO.2013.7.4,bookmark,22,"Uzdevuma saprašana: Ko nozīmē pamatot ""vai var izkrāsot"" – divas iespējamās situācijas."
LV.AMO.2013.7.4,bookmark,74,"Risinājums: Aplūkojam taisnstūri 2x5, kas ir kvadrāta vienā malā. Metode: Uzdevuma vienkāršošana."
LV.AMO.2013.7.4,bookmark,166,"Risinājums: Taisnstūri pagriežam arī citādi un turpina izkrāsot. Pārliecināmies, ka ar 6 pietiek. Metode: Simetrija."
LV.AMO.2013.7.4,bookmark,195,Risinājums: Citi iekrāsošanas paraugi 6 rūtiņām. Metode: Atrisinājums nav unikāls.
LV.AMO.2013.7.4,bookmark,237,"Risinājums: Piemērs, kā krāsot 5 rūtiņas. Metode: Mēģinājumu un kļūdu metode."
LV.AMO.2013.7.4,bookmark,278,"Risinājums: Jāpārliecinās, ka nevar ievietot nevienu citu. Metode: Pilnā pārlase (šoreiz vienkārši ar rūpīgu aplūkošanu)."
LV.AMO.2013.7.4,bookmark,312,"Pārbaudi var veikt ar uzmanīgu aplūkošanu (lai gan figūriņu ir daudz; nevajag domāt šim nelielajam piemēram kaut kādu vispārīgu metodi, kura ļautu pārbaudīt, vai visas figūriņas tiešām ir pārklātas)."
LV.AMO.2013.7.4,note,"Vai var pamatot, ka ar 4 iekrāsotām rūtiņām noteikti nepietiek?",
,,,
LV.AMO.2013.7.5,title,"40.AMO, 7.klases 5.uzdevums",
LV.AMO.2013.7.5,youtube,IG5MsMdt7oU,
LV.AMO.2013.7.5,topic,combinatorial-game,
LV.AMO.2013.7.5,bookmark,27,Uzdevuma saprašana: Spēles noteikumi; gājienu izdarīšanas secība; spēles sākumpozīcija; kāds ir viens gājiens; ar kādu nosacījumu spēle beidzas.
LV.AMO.2013.7.5,bookmark,98,Risinājums: Centrāli simetriskie gājieni – metode kā Ivo var panākt uzvaru.
LV.AMO.2013.7.5,bookmark,197,Risinājums: Metodes pamatojums: (1) Sākuma pozīcija ir centrāli simetriska. (2) Uz katru Unas gājienu var simetriski atbildēt un brīvās rūtiņas pēc katra Ivo gājiena atkal ir centrāli simetriskas.
LV.AMO.2013.7.5,bookmark,276,Risinājums: Ivo vienmēr var izdarīt gājienu – tātad viņš uzvar.
LV.AMO.2013.7.5,bookmark,293,Atskats: Minimax algoritms Desu spēles analīzē.
LV.AMO.2013.7.5,bookmark,393,Atskats: Spēles gājienu grafs uzdevumā dotajai spēlei – Ivo iespēja vienmēr iebraukt centrāli simetriskā pozīcijā.
LV.AMO.2013.7.5,bookmark,530,"Atskats: No minimax algoritma izriet, ka kombinatoriskai spēlei (ar galīgu gājienu izvēli un galīgu gājienu skaitu, pilnu informāciju un pamīšus izdarītiem gājieniem) var uzzināt, kurš spēlētājs pareizi spēlējot uzvar. (Attiecīgi spēlēm, kurās ir paredzēts neizšķirts, var būt arī neizšķirts – piemēram, ""desu"" spēlē.)"
LV.AMO.2013.7.5,note,Minimax ilustrācija desu spēlei aizgūta no http://www.neverstopbuilding.com/minimax .,
,,,
LV.AMO.2013.8.1,title,"40.AMO, 8.klases 1.uzdevums",
LV.AMO.2013.8.1,youtube,Jb2vhUIYHFU,
LV.AMO.2013.8.1,topic,integer-equation,
LV.AMO.2013.8.1,bookmark,15,"Uzdevuma saprašana: Kuru naturālo skaitļu apakškopu aplūkojam. Pirmā cipara nosvītrošana - domāts skaitļa decimālpieraksts (piemēram, skaitīšanas sistēmā ar bāzi ""8"" līdzīgam uzdevumam nebūtu atrisinājumu)."
LV.AMO.2013.8.1,bookmark,76,Risinājums: No cik cipariem var sastāvēt atrisinājums. Metode: Gadījumu pārlase.
LV.AMO.2013.8.1,bookmark,132,Risinājums: Kā no divciparu skaitļa pieraksta iegūst vienādojumu. Metode: Algebriskas sakarības ieviešana.
LV.AMO.2013.8.1,bookmark,180,Risinājums: Veselu skaitļu vienādojums ar diviem nezināmajiem. Metode: Dalāmība veselu skaitļu vienādojumā.
LV.AMO.2013.8.1,bookmark,234,Risinājums: Līdzīgs izvedums 6-ciparu skaitlim.
LV.AMO.2013.8.1,bookmark,344,Risinājums: Atbildes formulēšana. Metode: Secināšana pēc analoģijas.
LV.AMO.2013.8.1,note,"Vai, nosvītrojot decimālpieraksta pirmo ciparu, naturāls skaitlis var samazināties 35 reizes? 37 reizes? Kāpēc?",
,,,
LV.AMO.2013.8.2,title,"40.AMO, 8.klases 2.uzdevums",
LV.AMO.2013.8.2,youtube,cXmlpA3LJAc,
LV.AMO.2013.8.2,topic,triangle-inequality,
LV.AMO.2013.8.2,bookmark,19,"Uzdevuma saprašana: Ko nozīmē ""dots trijstūris"", ""dots punkts""? ""Dots"" kā sinonīms vārdiem ""patvaļīgs"", ""jebkurš""."
LV.AMO.2013.8.2,bookmark,105,"Risinājums: Pusperimetru grūti iztēloties, reizinām ar 2. Metode: Atbrīvošanās no neērtām lietām."
LV.AMO.2013.8.2,bookmark,178,Risinājums: Zīmējums ar divkāršotiem nogriežņiem. Metode: Zīmējuma izveidošana.
LV.AMO.2013.8.2,bookmark,211,Risinājums: Trijstūru nevienādības 3 trijstūrīšos. Metode: Trijstūra nevienādības izmantošana.
LV.AMO.2013.8.2,bookmark,254,Risinājums: Nevienādību saskaitīšana un locekļu pārgrupēšana. Metode: Saskaitāmo pārkombinēšana.
LV.AMO.2013.8.2,bookmark,308,Atskats: Viena no dotajām lietām netika izmantota.
,,,
LV.AMO.2013.8.3,title,"40.AMO, 8.klases 3.uzdevums",
LV.AMO.2013.8.3,youtube,mcbQM4F-SFg,
LV.AMO.2013.8.3,topic,quadratic-equation,
LV.AMO.2013.8.3,bookmark,17,Uzdevuma saprašana: Kādi var būt reālie skaitļi.
LV.AMO.2013.8.3,bookmark,59,"Risinājums: Vienādojumi, kuri reducējami uz kvadrātvienādojumu. Metode: Mainīgā substitūcija."
LV.AMO.2013.8.3,bookmark,168,"Risinājums: Algebriski pārveidojumi, lai atdalītu kvadrātu. Metode: Pilnā kvadrāta atdalīšana."
LV.AMO.2013.8.3,bookmark,286,Risinājums: Pāreja no vienādības uz nevienādību. Metode: Saskaitāmā atmešana nevienādībā.
LV.AMO.2013.8.3,bookmark,385,Risinājums: Kvadrātvienādojums ar sakni t (kur sakne no t ir arī koeficients) Metode: Kvadrātvienādojuma diskriminants.
LV.AMO.2013.8.3,bookmark,472,Atskats: Diskriminanta un pilnā kvadrāta atdalīšanas metožu līdzvērtība.
,,,
LV.AMO.2013.8.4,title,"40.AMO, 8.klases 4.uzdevums",
LV.AMO.2013.8.4,youtube,Cvqr2NmFX94,
LV.AMO.2013.8.4,topic,using-symmetry,
LV.AMO.2013.8.4,bookmark,13,"Uzdevuma saprašana: Vienādi daudzstūri ir kongruenti - kurus var vienu par otru attēlot ar kongruences pārveidojumu (pārveidojumu, kurā saglabājas attālumi). Nav runa par vienlielām figūrām, t.i. figūrām ar vienādiem laukumiem."
LV.AMO.2013.8.4,bookmark,62,"Risinājums: Paralelograms ir figūra, ko viegli griezt mazākos paralelogramos. Metode: Pāreja uz vienkāršāku uzdevumu."
LV.AMO.2013.8.4,bookmark,105,Risinājums: Var sagriezt 3 un arī 3n gabalos. Metode: Viena gadījuma reducēšana uz citu.
LV.AMO.2013.8.4,bookmark,160,Risinājums: Astoņu gabalu iegūšana varētu sākties ar griešanu uz pusēm. Iegūtajām abām trapecēm ir 3 vienādas malas. Metode: Simetrijas izmantošana.
LV.AMO.2013.8.4,bookmark,222,Risinājums: Astoņu gabaliņu konstruēšana un to vienādības pamatošana. Metode: Palīglīniju ieviešana.
LV.AMO.2013.8.4,note,Cik daudzās daļās vēl var sagriezt regulāru sešstūri (atskaitot jau zināmos gadījumus - 8 daļas un 3*n daļas)?,
,,,
LV.AMO.2013.8.5,title,"40.AMO, 8.klases 5.uzdevums",
LV.AMO.2013.8.5,youtube,j6PdM7lk7Sg,
LV.AMO.2013.8.5,topic,exhaustive-searchr,
LV.AMO.2013.8.5,bookmark,45,"Uzdevuma saprašana: Ir tikai 4 iespējamie jautājumi. Ja uzdotu visus četrus, tad atbildēt būtu vienkārši. Uzdevums ir par to, ka vienu jautājumu allaž var ietaupīt."
LV.AMO.2013.8.5,bookmark,84,Risinājums: Cik ir kombināciju? Monotonu kombināciju?
LV.AMO.2013.8.5,bookmark,167,Risinājums: Neadaptīva stratēģija - vienmēr uzdod tos pašus jautājumus. Metode: Pretruna no pieņēmuma.
LV.AMO.2013.8.5,bookmark,225,Risinājums: Adaptīvas stratēģijas apraksts. Metode: Piemēra konstruēšana.
LV.AMO.2013.8.5,note,Vai ir jēga veidot adaptīvu stratēģiju pēc 1.jautājuma atbildes?,
LV.AMO.2013.8.5,note,"Adaptīva stratēģija - kas notiek, ja vispirms pajautātu abus malējos vai abus vidējos virknes locekļus?",
LV.AMO.2013.8.5,note,"Vai 3 locekļu virknes x_1,x_2,x_3 monotonitāti var noskaidrot ar 2 jautājumiem",
LV.AMO.2013.8.5,note,"Ja virknē ir vairāk nekā četri locekļi, vai var ietaupīt vairāk jautājumu?",
,,,
LV.AMO.2013.9.1,title,"40.AMO, 9.klases 1.uzdevums",
LV.AMO.2013.9.1,sameAs,LV.AMO.2012.9.5,
,,,
LV.AMO.2013.9.2,title,"40.AMO, 9.klases 2.uzdevums",
LV.AMO.2013.9.2,youtube,sWhEMTTHCkw,
LV.AMO.2013.9.2,topic,proof-by-contradiction,
LV.AMO.2013.9.2,bookmark,20,Uzdevuma saprašana: 4x4 rūtiņu kvadrātam ir 5x5 virsotnes.
LV.AMO.2013.9.2,bookmark,48,Risinājums: Kvadrāta virsotnēm jābūt nokrāsotām pa divām katrā krāsā. Metode: Gadījumu pārlase.
LV.AMO.2013.9.2,bookmark,83,Risinājums: Divu sarkano kvadrāta virsotņu novietojums - divi gadījumi. Metode: Pierādījums no pretējā.
LV.AMO.2013.9.2,bookmark,189,Atskats: Pretrunas iegūšanai pietika ar daudz mazāku rūtiņu režģi - vajag 2x2 kvadrātu ar 9 virsotnēm (nevis 4x4 kvadrātu ar 25 virsotnēm).
LV.AMO.2013.9.2,bookmark,218,"Atskats: ""Blēdīgi"" un ""godīgi"" trijstūru novietojumi."
LV.AMO.2013.9.2,bookmark,255,Atskats: Grūtāka uzdevuma formulējums
LV.AMO.2013.9.2,bookmark,278,"Atskats: Grūtāka uzdevuma risinājums, pieņemot pretējo."
LV.AMO.2013.9.2,bookmark,400,"Atskats: Ja dotā kvadrāta izmēri ir 4x4, tad pamatotāk risināt grūtāko uzdevumu, jo tieši tam 4x4 iznāk pats mazākais kvadrāts, kuram vienādsānu trijstūris ar virsotnēm vienā krāsā obligāti eksistē."
LV.AMO.2013.9.2,note,"Dots kvadrāts 3x3 rūtiņas. Izkrāsot tajā esošās 16 rūtiņu virsotnes divās krāsās tā, lai neeksistētu neviens ""godīgs"" (ar katetēm paralēlām kvadrāta malām) vienādsānu trijstūris, kuram visas virsotnes ir vienā krāsā.",
,,,
LV.AMO.2013.9.3,title,"40.AMO, 9.klases 3.uzdevums",
LV.AMO.2013.9.3,youtube,1y0f2s8MimI,
LV.AMO.2013.9.3,topic,decimal-representation,
LV.AMO.2013.9.3,bookmark,16,Uzdevuma saprašana: Nezināmie ir skaitļa cipari. Mēģinājumi uzminēt var būt ļoti darbietilpīgi.
LV.AMO.2013.9.3,bookmark,34,Uzdevuma saprašana: Cipari vienā divciparu skaitlī var atkārtoties - izvēle ar atkārtošanos.
LV.AMO.2013.9.3,bookmark,59,Risinājums: Cik divciparu skaitļu var izveidot no 4 cipariem - un kā tos sistemātiski sakārtot. Metode: Izvēļu koks.
LV.AMO.2013.9.3,bookmark,118,Risinājums: Vienādojuma sastādīšana ar nezināmajiem cipariem. Metode: Decimālpieraksta izmantošana.
LV.AMO.2013.9.3,bookmark,245,Risinājums: Kuru četru ciparu summa var būt 11. Metode: Gadījumu pārlase.
LV.AMO.2013.9.3,note,"Kāds būtu atrisinājums, ja cipari šajā vienādībā tiktu ņemti bez atkārtošanās? T.i. veidojam summu no tiem divciparu skaitļiem, kuri pierakstīti, izmantojot divus dažādus ciparus no dotajiem četriem cipariem - un šī summa izrādās 484.",
,,,
LV.AMO.2013.9.4,title,"40.AMO, 9.klases 4.uzdevums",
LV.AMO.2013.9.4,youtube,SFmo2aeTFT0,
LV.AMO.2013.9.4,topic,squaring,
LV.AMO.2013.9.4,bookmark,29,"Uzdevuma saprašana: Virkni viennozīmīgi uzdod pirmais loceklis un formula, kas ļauj izrēķināt katru nākamo locekli."
LV.AMO.2013.9.4,bookmark,49,Uzdevuma saprašana: Visi virknes locekļi ir pozitīvi.
LV.AMO.2013.9.4,bookmark,73,"Risinājums: Kāpinot kvadrātā, mainīgais x_n var noīsināties. Metode: Kāpināšana kvadrātā."
LV.AMO.2013.9.4,bookmark,169,Risinājums: Locekļa atmešana un pāreja uz nevienādību. Metode: Pāreja uz nevienādību.
LV.AMO.2013.9.4,bookmark,203,"Risinājums: Ja katrs nākamais virknes locekļa kvadrāts ir par 4 lielāks nekā iepriekšējā locekļa kvadrāts, tad simtais locekļa kvadrāts būs par 400 lielāks nekā nulltā locekļa kvadrāts. Metode: Indukcija."
LV.AMO.2013.9.4,bookmark,318,"Atskats: Kas notiek, ja dažādām x_0 vērtībām izrēķina x_100, un attēlo grafika veidā."
LV.AMO.2013.9.4,bookmark,390,Atskats: Vai x_100 noteikti ir lielāks par 20 un pie kura x_0 var iegūt vismazāko x_100 vērtību.
,,,
LV.AMO.2013.9.5,title,"40.AMO, 9.klases 5.uzdevums",
LV.AMO.2013.9.5,youtube,ueXWH7a_hmA,
LV.AMO.2013.9.5,topic,inscribed-angles,
LV.AMO.2013.9.5,bookmark,16,Uzdevuma saprašana: Kas ir riņķis (figūras robeža - riņķa līnija kopā ar riņķa iekšpusi)
LV.AMO.2013.9.5,bookmark,36,"Uzdevuma saprašana: Ko nozīmē pārklāšana. Katram punktam četrstūrī eksistē kāds no riņķiem, kuram viņš pieder."
LV.AMO.2013.9.5,bookmark,55,Uzdevuma saprašana: Kas ir izliekts četrstūris.
LV.AMO.2013.9.5,bookmark,85,"Risinājums: Pieņemam, ka ir punkts, kuru nepārklāj neviens no četriem riņķiem. Metode: Spriedums no pretējā."
LV.AMO.2013.9.5,bookmark,106,"Risinājums: Leņķis, kura abas malas iet caur riņķa diametru, bet virsotne ir ārpus šī riņķa noteikti ir šaurs. Metode: Ievilktais leņķis."
LV.AMO.2013.9.5,bookmark,165,Risinājums: Četru leņķu summa ir vienlaikus vienāda un arī mazāka par 360 grādiem. Metode: Spriedums no pretējā.
,,,
LV.AMO.2013.10.1,title,"40.AMO, 10.klases 1.uzdevums",
LV.AMO.2013.10.1,youtube,zgtN_jL_4Ks,
LV.AMO.2013.10.1,topic,continuity,
LV.AMO.2013.10.1,bookmark,40,Uzdevuma saprašana: Pa vienai saknei diviem dažādiem kvadrātvienādojumiem.
LV.AMO.2013.10.1,bookmark,91,Risinājums: Ievietojam kvadrāttrinomā. Metode: Identiskie pārveidojumi.
LV.AMO.2013.10.1,bookmark,284,"Risinājums: Saknes eksistēšana, izmantojot nepārtrauktību. Metode: Nepārtrauktu funkciju īpašības."
LV.AMO.2013.10.1,bookmark,348,"Risinājums: Robežgadījumi, kad x_3 sakrīt ar x_1 vai x_2. Metode: Gadījumu pārlase."
LV.AMO.2013.10.1,bookmark,400,Atskats: Nepārtraukta funkcija ieņem visas starpvērtības.
LV.AMO.2013.10.1,bookmark,441,Atskats: Sakņu kvalitatīva pētīšana neprasa risināt vienādojumu.
,,,
LV.AMO.2013.10.2,title,"40.AMO, 10.klases 2.uzdevums",
LV.AMO.2013.10.2,youtube,25fEje8cBsk,
LV.AMO.2013.10.2,topic,inscribed-angles,
LV.AMO.2013.10.2,bookmark,25,"Uzdevuma saprašana: Viennozīmīga konstrukcija, ja dots trijstūris."
LV.AMO.2013.10.2,bookmark,61,Risinājums: Riņķa pieskare un normāle. Metode: Riņķa līnijas īpašības.
LV.AMO.2013.10.2,bookmark,96,Risinājums: Ievilktie leņķi ir vienādi. Metode: Ievilktie leņķi.
LV.AMO.2013.10.2,bookmark,153,Risinājums: Leņķis starp pieskari un hordu. Metode: Ievilktie leņķi.
LV.AMO.2013.10.2,bookmark,208,"Risinājums: Riņķa novietošana tā, lai tas pieskartos AB punktā D un ietu arī caur C. Metode: Ģeometriska konstrukcija"
LV.AMO.2013.10.2,bookmark,272,Risinājums: Leņķu vienādības. Metode: Ievilktie leņķi.
LV.AMO.2013.10.2,bookmark,336,"Risinājums: Taišņu paralelitāte, izmantojot leņķus ar šķērso taisni. Metode: Šķērsleņķu īpašības."
,,,
LV.AMO.2013.10.3,title,"40.AMO, 10.klases 3.uzdevums",
LV.AMO.2013.10.3,youtube,SpM9lx1dtGA,
LV.AMO.2013.10.3,topic,case-analysis,
LV.AMO.2013.10.3,bookmark,30,"Uzdevuma saprašana: Ko nozīmē uzdevuma izvirzītais mērķis - atrast mazāko n, kuram eksistē... (Jāatrod konstrukcija ar n-heksu, ar kuru nevar aizpildīt, un arī jāpamato, ka ar visiem mazākiem heksiem var aizpildīt.)"
LV.AMO.2013.10.3,bookmark,100,Risinājums: Visu iespējamo heksu pārskats. Metode: Gadījumu pārlase
LV.AMO.2013.10.3,bookmark,213,Risinājums: Kopīgais sešstūrīšu skaits ir 36; tādēļ 5-heksos sadalīt nevar. Metode: Skaitļu dalāmība.
LV.AMO.2013.10.3,bookmark,251,Risinājums: Sešstūrveida figūras (ar caurumu) sadalīšana 3 kongruentos gabalos. Metode: Simetrijas izmantošana.
LV.AMO.2013.10.3,bookmark,406,"Risinājums: Piemērs, kādēļ ar 4-heksu nevar Metode: Konstrukcija."
,,,
LV.AMO.2013.10.4,title,"40.AMO, 10.klases 4.uzdevums",
LV.AMO.2013.10.4,youtube,0URgsDdpP-A,
LV.AMO.2013.10.4,topic,pigeonhole-principle,
LV.AMO.2013.10.4,bookmark,15,"Uzdevuma saprašana: Nosacījuma sekas - katrai 51 skaitļa izvēlei eksistē divi skaitļi, no kuriem viens dalās ar otru."
LV.AMO.2013.10.4,bookmark,38,"Risinājums: Kas notiktu, ja būtu jāizvēlas tikai 50 skaitļi (varētu atrast tādus skaitļus, no kuriem nekādi divi savstarpēji nedalās.) Metode: Aizstājam uzdevumu ar citu."
LV.AMO.2013.10.4,bookmark,70,"Risinājums: Vai skaitu 50 var palielināt tā, lai īpašība (nekādi divi skaitļi nedalās) saglabātos. Metode: Intuīcija."
LV.AMO.2013.10.4,bookmark,125,"Risinājums: Veidojam skaitļu virknītes, kur katri divi locekļi dalās viens ar otru. Metode: Kopas dalīšana klasēs."
LV.AMO.2013.10.4,bookmark,214,"Risinājums: Pamatojums, ka virkņu ir 50; un katrs skaitlis pieder tieši vienai virknei. Metode: Kopas dalīšana klasēs."
LV.AMO.2013.10.4,bookmark,280,"Risinājums: Ja izvēlamies 51 skaitļus no 50 virknītēm, tad vismaz vienā virknītē būs vismaz divi no izvēlētajiem skaitļiem. Metode: Dirihlē princips."
LV.AMO.2013.10.4,bookmark,327,"Pierādīts stiprāks apgalvojums - var atrast ne vien divus skaitļus, kuri viens ar otru dalās, bet arī tādus, kurus dalot iegūst divnieka pakāpi (2,4,8,16,32 vai 64)."
LV.AMO.2013.10.4,note,"51 skaitli no 100 var izvēlēties 98913082887808032681188722800 dažādos veidos - tā ir kombinācija no 100 pa 51, ko aprēķina ar formulu 100!/(51!*49!). Mūsu risinājums izmantoja Dirihlē principu, kas attiecas uz visām iespējām izvēlēties 51 skaitli.",
,,,
LV.AMO.2013.10.5,title,"40.AMO, 10.klases 5.uzdevums",
LV.AMO.2013.10.5,youtube,CiiboXnTWS0,
LV.AMO.2013.10.5,topic,even-odd-numbers,
LV.AMO.2013.10.5,bookmark,15,Uzdevuma saprašana: Skaitļu novietojums pa apli un blakusesamības attiecība.
LV.AMO.2013.10.5,bookmark,40,Uzdevuma saprašana: Blakusesošo skaitļu attiecība nozīmē lielāko dalīt ar mazāko.
LV.AMO.2013.10.5,bookmark,63,"Risinājums: Piemēri, kā izrakstīt 2, 4, 6 skaitļus. Metode: Cita uzdevuma risināšana."
LV.AMO.2013.10.5,bookmark,140,"Risinājums: Skaitļa izteikšana ar 2 un 3 pakāpju reizinājumu ar citu skaitli, kas ar 2 vai 3 nedalās. Metode: Skaitļa dalīšana pirmreizinātājos."
LV.AMO.2013.10.5,bookmark,192,"Risinājums: Kas notiek ar dalījumu pirmreizinātājos, ja reizina vai dala ar 2, 3, 12 vai 18. Metode: Gadījumu pārlase."
LV.AMO.2013.10.5,bookmark,269,"Risinājums: Ja pirmskaitļu 2 un 3 kāpinātāju summa ir pāru skaitlis, tad kaimiņos jābūt skaitlim ar kāpinātāju summu - nepāru skaitli. Metode: Pāru un nepāru skaitļi."
LV.AMO.2013.10.5,bookmark,342,"Atskats: Skaitļu apļa attēlošana uz šaha galdiņa. Reizināšana vai dalīšana ar 2, 3, 12 vai 18 līdzinās pārejai uz pretējās krāsas lauciņu."
,,,
LV.AMO.2013.11.1,title,"40.AMO, 11.klases 1.uzdevums",
LV.AMO.2013.11.1,youtube,luIp4XRAFLk,
LV.AMO.2013.11.1,topic,modular-arithmetic,
LV.AMO.2013.11.1,bookmark,15,Uzdevuma saprašana: Ko nozīmē dalīšanās ar 169?
